variantKey	slot	field	cxMm	cyMm	fontPt	font
infinito-1	0	nombre2	126.7516	137.5137	79	Rows of Sunflowers
infinito-1	0	nombre1	40.66105	137.694	79	Rows of Sunflowers
infinito-1	0	fecha	81.67875	166.5826	25.3	Rows of Sunflowers
infinito-2	1	nombre2	283.7228	137.7533	79	Rows of Sunflowers
infinito-2	0	nombre2	126.7516	137.5137	79	Rows of Sunflowers
infinito-2	1	nombre1	201.40345	140.1939	79	Rows of Sunflowers
infinito-2	0	nombre1	40.66105	137.694	79	Rows of Sunflowers
infinito-2	1	fecha	242.2898	166.5558	25.3	Rows of Sunflowers
infinito-2	0	fecha	81.67875	166.5826	25.3	Rows of Sunflowers
spiderman-1	0	nombre	36.8625	53.5968	80.291	Rows of Sunflowers
spiderman-2	1	nombre	36.8625	53.5968	80.291	Rows of Sunflowers
spiderman-2	0	nombre	198.0623	53.5968	80.291	Rows of Sunflowers
rex-1	0	nombre	50.86855	36.84515	92.887	Rows of Sunflowers
rex-2	1	nombre	50.86855	36.84515	92.887	Rows of Sunflowers
rex-2	0	nombre	212.06835	36.84515	92.887	Rows of Sunflowers
